surah,muqattaat_letters,letter,calculation_type,calculation_description,value,comparison_context
15,ا ل ر,ر,diff_vs_previous,Difference between current and previous surah ratios,-0.011390210026888559,Current vs Previous surah ratio difference
15,ا ل ر,ر,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.0016212038640487508,Current vs All Previous surahs ratio difference
15,ا ل ر,ر,diff_vs_next,Difference between current and next surah ratios,-0.0032809173640009903,Current vs Next surah ratio difference
15,ا ل ر,ر,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.006245803424761477,Current vs All Subsequent surahs ratio difference
19,ك ه ي ع ص,ك,count_current,Letter count in current surah,138,Current surah with Muqatta'at
19,ك ه ي ع ص,ك,count_previous,Letter count in previous surah,173,Previous surah (surah 18)
19,ك ه ي ع ص,ك,count_all_previous,Letter count in all previous surahs,5452,All surahs before current (surahs 1-18)
19,ك ه ي ع ص,ك,count_next,Letter count in next surah,180,Next surah (surah 20)
19,ك ه ي ع ص,ك,count_all_after,Letter count in all subsequent surahs,4908,All surahs after current (surahs 20-114)
19,ك ه ي ع ص,ك,ratio_current,Letter ratio in current surah (count/total),0.03468208092485549,Current surah with Muqatta'at
19,ك ه ي ع ص,ك,ratio_previous,Letter ratio in previous surah (count/total),0.026128983537230026,Previous surah (surah 18)
19,ك ه ي ع ص,ك,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.03209607629588202,All surahs before current (surahs 1-18)
19,ك ه ي ع ص,ك,ratio_next,Letter ratio in next surah (count/total),0.033003300330033,Next surah (surah 20)
19,ك ه ي ع ص,ك,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.030427208421418078,All surahs after current (surahs 20-114)
19,ك ه ي ع ص,ك,diff_vs_previous,Difference between current and previous surah ratios,0.008553097387625462,Current vs Previous surah ratio difference
19,ك ه ي ع ص,ك,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.0025860046289734664,Current vs All Previous surahs ratio difference
19,ك ه ي ع ص,ك,diff_vs_next,Difference between current and next surah ratios,0.0016787805948224876,Current vs Next surah ratio difference
19,ك ه ي ع ص,ك,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.00425487250343741,Current vs All Subsequent surahs ratio difference
