surah,muqattaat_letters,letter,calculation_type,calculation_description,value,comparison_context
28,ط س م,س,diff_vs_previous,Difference between current and previous surah ratios,-0.0024325544207823985,Current vs Previous surah ratio difference
28,ط س م,س,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.000797063113778012,Current vs All Previous surahs ratio difference
28,ط س م,س,diff_vs_next,Difference between current and next surah ratios,0.001001737082987758,Current vs Next surah ratio difference
28,ط س م,س,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.0013785317365743247,Current vs All Subsequent surahs ratio difference
28,ط س م,م,count_current,Letter count in current surah,458,Current surah with Muqatta'at
28,ط س م,م,count_previous,Letter count in previous surah,396,Previous surah (surah 27)
28,ط س م,م,count_all_previous,Letter count in all previous surahs,17167,All surahs before current (surahs 1-27)
28,ط س م,م,count_next,Letter count in next surah,342,Next surah (surah 29)
28,ط س م,م,count_all_after,Letter count in all subsequent surahs,9124,All surahs after current (surahs 29-114)
28,ط س م,م,ratio_current,Letter ratio in current surah (count/total),0.07619364498419565,Current surah with Muqatta'at
